text,sentiment
" <USERNAME>.m sama Mba! Gua jg ga bisa benci Nikmir. Salut malah ama dia ga muna! Artis lain maaf image aja di dpan, sok baik, sok teraniaya n jual air mata. Nikita ini real.. sygnya msyarakat kita cendrung yg dilihat apa yg ada di superfisial",positive
"Value for money-nya sangat baik, fitur premium dengan harga yang reasonable.",positif
ogah nonton lagi saya. Kecewa ama itu film ,negative
"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri ",negative
Pingin lihat mas #AHY debat <FACE WITH STUCK-OUT TOUNGES> ,positive
"Pak Djarot menangis, @addiems pimpin #NyanyianUntukAhok. Ada apa ya? Cek http://goo.gl/7iUqa0  #AhokDjarot #BalaiKota #VisuallyYours",negative
"saya putaran pertama dukung ibu dan mas agus,, yah lebih baik kalah dengan terhormat daripada menang karena curang",positive
Paduan suara warga di balai kota #ahokdjarot,positive
ga tau kenapa semua menjadi buruk ketika kau pergi #moreppie #hitamputihT7,negative
"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..",negative
"Suka banget banget nih sama ni artis, gak neko neko, ternyata masih lahiran 1996 ??????",positive
<PROVIDER_NAME> Mantap di Sumedang <PROVIDER_NAME> ,positive
Alay lu ajng,Negative
Salut dan hormat utk bang jhonson panjaitan lugas dan masuk akal... #ILCtvone,positive
"Yang penting ngecap, tidak lucu juga kan kalau diam saja #OkeOce",negative
"aplikasinya bagus untuk belajar sambil bermain, tapi lebih bagus lagi kalau setiap ada kesalahan kata diberi penjelasan seperti yang dulu. ada kolom komentar yang bisa dibuat sharing², itu sangat membantu sekali dalam belajar.",Positive
Elu aja masuk rsj! Sinting! Ga akan gua sensor ya anjeng! Gua dari tadi pagi dah sabar malah nemu beginian! Tolol!,Negative
Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,negative
"Terima kasih sudah menonton acara #kickandy eps ubah mimpimu jadi tindakan, semoga bermanfaat",positive
"Hari ini bhineka tunggal ika tidak akan berlaku, karena kita di hdapkan dengan pilihan yang berbeda. #aniessandi #StopPolitisasiBhinneka",negative
Waaaaoooo..sopan sekali.. bahasami menunjukkan kelasmu !!! Heeeehh.. yg repot ama hidup lu siapahh ?? Elu live nampilin hal2 gak penting..yg nggilanikk.. menjijikkan..diliat org banyak.. ya pantes lah dikomen..klo gak mw dikomen videoin pribadi aja.. nonton sendiri lu ama kluarga lu di rmh.. nambah lagi niy ertong yg gak pny attutude!! Kampungan!!,negative
<PROVIDER_NAME> BerbagiBerkah karena berbagi itu menyenangkan apalagi sama orang yang kita sayangi.,positive
Untungnya tidak seribet yang saya kira untuk digunakan,positif
semua cw gini kahh whahaha anjj😭😭😭😭,Negative
selalu bikin mood ku naik tiap kmu upload😄💘,Positive
"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI",negative
"bacot banget lu nurul, lu mending diem deh, masih aja ngebela tu agensi gendut l",Negative
Datang tampak muka pulang tampak punggung. Terima kasih Kepri #DemokratKelilingNusantara #AHY,positive
"Semangat ya eyang habibie, sehat selalu, selalu dlm lindungan Allah, ambisinya selalu kuat dlm melakukan segala hal. Kereeeennnnn. Semoga bnyk penurus2 bangsa sprti eyang Habibie ????????????????????????",positive
heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	,negative
Anj wkwkkwkwk,Negative
Gilingan mulan jalang lg kasih ceramah. Hahahaha . dasar cireng gak tau diri gak pernah ngaca. Si cireng lg ceramah sok2 kyk pahlawan kesiangan biar bisa berteman ama sekuter kyk selpii ini.,negative
"Warga Pluit : Kami Pilih Ahok Karena Kerjanya, Bukan Satu Etnis. https://goo.gl/KVN4o5  #pilkadadki2017 #wargapluit @basuki_btp",positive
Mba via sptnya siyok melihat kejamnya dunia per artis an... mudah2an tetep sabar tetep berkarya dg baik... ????,positive
"Nonton ILC tokoh betawi bilang, org betawi itu gampang intinya, ""bacot lu jaga.."" jadi itulah intinya.. #ilctvone",negative
"Hati hati komentar tentang #AhokDjarot #kalahpilkada, ujung2nya anda dituduh NYINYIR",negative
KETEMU DI ISTIQLAL Bangga Pernah Jadi Bagian Dari @AgusYudhoyono dan @sylviana_murni @ZaraZettiraZr @AhyCenter @SohibAHY,positive
Masih ada yang hemat <PROVIDER_NAME>,positive
mnyayangi burung gembrot dgn sepenuh hti,Positive
"Daripada kirim karangan bunga, mending bikin acara bagi bagi sembako #AhokDjarot #kalahpilkada",negative
Lagu Favorit Aku Banget 🧡🧡🔥🔥,Positive
Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,negative
"Antreannya panjang, tapi terbayar lunas dengan rasanya yang luar biasa.",positif
"Sumpah enak banget, tau dari sg lyodra❤",Positive
"Suara Penta Boys ini memang keren banget, pantas jadi juara 1 di Rumania #KickAndy",positive
Prabowo Subianto sebut Amin Rais sebagai Ayatollah Indonesia & Aburizal Bakrie sebagai mentor & arsitek pemenangan #AniesSandi #PilkadaDKI,negative
gblk?,Negative
"bagusa bgt lagu nya ❤❤, mv nya juga keren fahadd",Positive
Alangkah baiknya kalau harga ini tidak naik lagi,negatif
"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY",negative
Cantik banget yak.. Punya anak cewe begini puyeng kali yak jagain nya ??????,positive
Syukurlah tidak ada komplikasi seperti yang dikhawatirkan,positif
Saran untuk #AniesSandi merealisir Transportasi terintegrasi Tiket Rp.5000 seyogianya dibicarakan dengan @PT_TransJakarta & ORGANDA & MTI,negative
" <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",negative
Selesai untuk beberapa waktu. Kami tetap setia #pilkadadki2017 https://www.instagram.com/p/BTDXsnuDpP9/,positive
mantap,Positive
gantungan kunci ahok berbagai model https://www.tokopedia.com/ #ahokfree #AhokIsHope #AhokDjarot #BasukiTjahajaPurnama #BTP #AhokTakBersalah,positive
"(12) AHY justru menitipkan pentingnya menjaga pluralisme, kebangsaan dan kesatuan dalam persaingan Pilkada. Persatuan lebih penting.",positive
bikin kelar <PROVIDER_NAME> ,negative
<PROVIDER_NAME> tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah 3 minggu lebih,negative
"10. Kalaupun mau bikin film horror, film Danur bisa jadi rujukan .. ringan tapi menakutkan ",positive
"bagus apk nya, cuma sekarang sering banget ngelag gabisa buat edit bagian perbaiki muka,misal mau kecilin hidung tapi nga bisa sama sekali. bagian brush juga dulu bagus, jelas sama tebel sekarang malah ga keliatan sama sekali. plis balikin fitur kayak dulu lagi",Negative
#karanganbunga #karanganbungaahok #ahokdjarot Karangan Bunga yang Sindir Ahok - Djarot Dirusak http://dlvr.it/P0pJTx,negative
Tapi detail segitu udah keren banget mas aku pengguna iphone ngatur kamera belom perna dpt sebagus inii meng iriii,Positive
"Duolingo ni emang seru sih belajar nya, tapi yg kurang tuh kalo belajar kata baru ga di kasih tau, jadi langsung masuk ke pelajaran klo kita ga tau artinya ya ngurang bintang nya. btw aku belajar bahasa Inggris sih lancar soalnya sering nonton film yg bahasa Inggris :)",Positive
Gugatlah kemana aja .. .. Yang jelas Prabowo Gibran sudah pilihan rakyat tidak ada yang bisa membatalkan suara rakyat,Negative
Alhamdulillah tidak ada keluhan dari tim,positif
Jenuh nonton film... hambar,negative
"Pembohongan publik itu, ketika rambut udah putih beruban tapi di cat hitam #ilctvone",negative
Tayangan yang sangat inspiratif yang banyak memberi motivasi kepada kita untuk lebih bisa mencintai orang-orang disabilitas #kickandy,positive
adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(,negative
"harga nya murah, packing nya aman, admin nya ramah dan fast respon. terimakasih !!",Positive
Tekstur nya lebih ringan yaa truz gak kerasa kering stlh d aplikasiin ke bibir,Positive
kualitas menyesuaikan harga.... top lah,Positive
Uji kecepatan <PRODUCT_NAME> #opensignal-ku di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,negative
Ribuan Bunga untuk #AhokDjarot #AhokDicintaiRakyat #Jakarta,positive
Sinyal <PROVIDER_NAME> amsyong d stadion gajayana,negative
"Ini kakaknya murid2ku waktu msh ngajar di sekolah internasional mihil. Anaknya cantik2 dan si ibu dan bpk ramah dan baik bngt. Seluruh sepupunya di sekolah yg sama, yg uang masuknya aja 70 jtan lbh/siswa. G tau skrg brp.",positive
Suara pemilih #AHY pada putaran ke 1 terlihat memilih paslon no 3 pada puataran ke dua kali ini. Selamat Jakarta punya gubernur baru.,positive
Sumpah ini film bagus bngt! Nonton berkali-kali gapernah bosen film the guys sangat menginspirasi tnx bang udah buat film ini @radityadika,positive
Sangat menginspirasi. #hitamputihtrans7 #FOCUS Hari ini banyak inspirasi buat saya,positive
"Jawab aja ga usah berbelit-belit. Muter2 ga jelas, Buang2 waktu. ga mutu #matanajwametroTV",negative
bagus banget si mendukung banget buat belajar dikit dikit dulu gue gak bisa bahasa inggris sekarang mulai tau dikit dikit dan gak seperti dulu yang bener bener gak tau apa apa.walaupun gak pake yang berbayar ini aplikasi gak gapapa kok karena fitur nyawanya bisa di tambah dengan ngerjain soal gak seperti aplikasi lain yang harus bayar atau engga nungguin lama buat ngisi nyawa lagi😔kadang juga suka di kasih suprise sama aplikasinya di kasih nyobain versi pronya walaupun cuma 3 hari tapi gapapa:),Positive
Selamat buat Anies Sandi yang unggul dalam hitung cepat #pilkadadki2017,positive
Semoga saja tidak ada gangguan teknis di waktu penting,negatif
Lulung nyampah jadi timses anies sandi gara gara takut kena semprot ahok <FACE WITH TEARS OF JOY> #AhokDjarot <FACE WITH STUCK-OUT TOUNGES>,negative
Makanya pakai <PROVIDER_NAME> 60 ribu dapet 9giga. <PROVIDER_NAME> <PROVIDER_NAME>dihack <PROVIDER_NAME> <PROVIDER_NAME>mahal,positive
Anj anak gua ampe nangis nonton ini,Negative
"Kalau tidak mau di DUA kan, jadilah orang keTIGA #pilkadadki2017 @ Cikini, Menteng https://www.instagram.com/p/BTDS6RyjNqJ/",positive
"Walaupun banyak cobaan yang menimpa pak ahok, mundur 1 langkah maju 1000 langkah untuk menjadikan jakarta lebih maju lagi <Trophy> #ahokdjarot",positive
"Tidak disangka, produk lokal ini bisa sebagus ini.",positif
Ya Allah bahagia itu gak harus dgn cara yg mewah sesederhana begini aj deh bahagia bisa komunikasi dgn keluarga ??,positive
"koq baunya beda dgn yg biasa dibeli. 
dan krg panas. Tulisan exp juga tdk nampak",Negative
bagus mantap tahan lama  teksur nya enak cocok sama warna saya,Positive
Banyak yang mulai SAKIT JIWA karena warga lebih cinta #AhokDjarot. #karanganbungaahok #GombalinAhok Kamis  #LawanSekulerRadikal,negative
Sejuk kalo ILC itu kayak gini obrolannya - ILC tvOne,positive
"Daftar rumah baru di jakarta yang DP nya 0-Rp Kalau gak terealisasi, kau tanggung janji kau di akhirat nanti,,, #pilkadaDKI2017 #pathdaily",negative
"agak kecewa sama snow, padahal saya dulu suka menggunakan snow dan saat saya mendowndload kembali apk snow di hp saya, filternya gak berfungsi atau ga muncul samsek, udh di donwloadpun filternya tpi msih ga muncul dengan alasan ""periksa jaringan anda"" padahal jaringan saya baik"" aja di sini. tolong di fix ya🙏🙏",Negative
"Udah coba berulang kali tapi ga muncul filternya harus download ulang buat foto, padahal sebelum di update dulu ga pernah ngelag aku coba di HP yang lain juga sama aja tetep ngelag gak muncul filternya coba di perbaiki lagi!.",Negative
"Maaf gk ada cantik2nya, tp sok cantik. menang anak pejabat aja😂 klo ga nikah sama arhan ga ad ayg kenal 😂 maaf ya wkwk",Negative
"Nah ini baru keren, daripada mba mba superman wkwkwk",positive
Barang sampai dengan selamat. Siiip modelnya oke dan simple. Thanks ya 👌,Positive
Kalau saya sih malu ngakunya juga @aniesbaswedan ...,negative
"Mungkin maksud Anies, prostitusi dan perjudian di Kalijodo harus tertata rapih -> http://megapolitan.kompas.com/read/2017/04/15/19414861/ani",negative
ukurannya pas di kaki bahannya yidak selembut pertama beli makanya beli lagi tapi ternyata kualitasnya menurun dan lagi kurang mukus karet2nya masih ada sisa2 yg blm dibe...,Negative
"Kata babe pilih nomor 2 <Victory Hand> <Victory Hand> <Victory Hand> #ahokdjarot basukibtp @Kebagusan,pala Soang https://www.instagram.com/p/BS3SLRFgFVb/",positive
"mudah diassemblingnya,trus cepat pengirimannya",Positive
mba acha cantik banget banget banget !! buat calon ibu yg blm d kasih momongan sm Allah smoga di segerakan ya ??,positive
"Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide.",positive
Hasil TPS RT 011/010 RW 002 di kelurahan Pela Mampang saya sedih lihatnya. #pilkadadki2017 #ahokdjarot,negative
Buat apa beli paket 4G jika jaringan internetnya masih Edge <PROVIDER_NAME> <PROVIDER_NAME>,negative
"bagus, pengiriman sangat safety, perakitan lumayan membingungkan. nice.",Positive
bagusssss makasih yaaaaa pengirimannya juga cepet,Positive
"gak mungkin saya di penjara, saksinya aja palsu kok. Kata pak Ahok  #TerbuktiTeruji #MataNajwaMetroTv",negative
miris ketika melihat banyak perusak di indonesia #kickandy,negative
Seru nih Dahlan Iskan dan ketua DPR #matanajwametroTV,positive
"subhanallah, ni anak2 karunia yg tak ada bandingnya... trans7 hitamputih",positive
"Ngerasa bersalah karena marah marah ke temen gue yang MBA, cuma gedek anjenk kebawa tolol dari keluarga lakinye",Negative
Menakutkan Powernya Oma Martha #HitamPutihT7,negative
Hanya iblis yang ingin menghalang-halangi manusia yang mau beribadah di masjid. Tetap semangat ya pak Djarot...!! #garagaraPILKADA #pilkadaD,negative
Oh jariangan kenapa <PROVIDER_NAME>,negative
Damai tapi di biayain 7 turunan mana ada bgtu anj,Negative
Penjelasan Kapolri jelas dan tegas. Barakallahu. Mari buka hati #ilctvone  #JagaNKRI,positive
" <USERNAME> iya kasian si micin?? padahal perusahan produk micin mengiklan kan kalo masak ""tambahkan micin biar tambah sedap"" netizen menyudutkan mecin seolah semua kebodohan orang yg punya gangguan jiwa ngemil micin??#justiceformicin",negative
Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/,negative
Salah satu film yg gak pernah bikin bosen ditonton berapa kali pun: The Intern. What a lovely movie. @CenayangFilm,positive
kuchiyose jiraiya manggil gama ken lebih keren wkwk,Positive
Video Kampanye Ahok-Djarot Telah Hancurkan Kebhinekaan https://goo.gl/ZrUI0G  #News #AhokDjarot,negative
sayangilah alam niscaya alam akan menyayangimu #kickAndy,positive
"Kalau ga suka sama ayu ting ting ga usah separah itu dong ngejudge nya. Punya HATI dan OTAK kan? Dia juga manusia punya kekurangan dan juga punya kelebihan dan dia juga punya perasaan. Jadi jangan seenak nya menjudge orang seperti itu, kaya udah SEMPURNA AJA LO!  <USERNAME>",negative
Kalo liat review di tt sih bagus makannya beli,Positive
"ini orang otaknya ga pernah di sekolahin ya? itu resiko ketika udah upload sesuatu di sosmed, ya pasti bakal dapet perbincangan dari netizen. public figure kok ga ada otaknya.",negative
4G <PROVIDER_NAME> dapat banget disini,positive
sekali lg mengingatkan @aniesbaswedan untuk jaga jarak dg Islamis radikal jika tak ingin melihat bangsa ini hancur. #ILC,negative
dr. Gamal ini emang keren banget kemaren waktu fakultas ngadain kuliah tamu guest nya beliau keren bangettt,Positive
Setia pada #AHY sebab politik Indonesia perlu ada regenerasi yg MATANG agar jgn ada lagi kutu loncat,positive
"Penjelasannya terlalu teknis, jadi sulit dimengerti untuk pemula.",negatif
Awalnya sih sempet khawatir setiap liat film adaptasi dr novel takut gak sesuai ekspektasi tp #CriticalEleven malah bikin speechless.,positive
#HasilC10 #Ba2ukiDjarot #pilkadadki2017 #MataRakyat #KawalPilkada @basuki_btp @AhokDjarot unggul di TPS 58 Duri Kosambi Cengkareng,positive
Pak @basuki_btp mukanya sedih banget pas kakak2 angkatnya ngomong. #kickAndy,negative
RT <USER_MENTION>: Teman sehari hari. #<PROVIDER_NAME> <PROVIDER_NAME> #<PROVIDER_NAME> #telecommunications… <URL>,positive
Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>,positive
Mudah-mudahan tidak ada konflik dengan software lain,negatif
Terimakasih Ibu  <USERNAME> serta seluruh keluarga telah memilih Plataran Darmawangsa sebagai tempat acara keluarga Besar. Saya selaku bagian staff di Plataran darmawangsa sangat terkesan dan sangat menunggu kedatangan Ibu dan keluarga di lain waktu. Sehat selalu Ibu dan keluarga. Amin amin ya rabbi,positive
Saksikan Live Merajut Jakarta Kembali bersama Bang Anies dan Bang Sandi. #tvone #aniessandiâ€¦ https://www.instagram.com/p/BTTx-ulBtil/,positive
Bagaimana pun suara Pendukung #AHY akan menentukan kemenangan salah satu Paslon.,positive
"Suara #AHY rusak gara-gara nyanyian si AA PeKa ini, moga SBY bisa bikin dia jeblos penjara sampai pupus disana !!! #GueGeram  <Face With Steam From Nose>",negative
"Malas lihat Anies, bawa sial aja ini orang, lebih baik lihat Ahok aja di Mata Najwa",negative
Nonton film #getout berbudget minim tp hasilnya sungguh tk diduga bgtu jenius smp mkir brulang apa yg sbnrnya trjadi,positive
"trio goblok nyalahin solo, yeee beban lo trio tolol.",Negative
semoga selalu #tegar #AhokDjarot https://twitter.com/cpdmkrkm/status/862234789859868672,positive
Baju Seragam buat nyoblos sudah siap nih teman-teman... #pilkadadki #ahokdjarot… https://www.instagram.com/p/BS3xZkflwVZ/,positive
"Baterainya boros, harus sering-sering di-charge.",negatif
PDI-P perkuat kemenangan Ahok-Djarot #pilkadaDKI2017.,positive
"Macam-macam ya keramaian pilkada dki. ada yang potong nenen ,yang jago ngeles karena ramalan. Selamat pak Anies-Sandi #pilkadadki2017",positive
Semoga tidak ada efek samping yang tidak diinginkan,negatif
Gawaras anjr knetz,Negative
"Yaampun ini artis bener bener good attitude yang layak jadi panutan. Dia kan bisa aja kuliah di luar negri. Tp karna baktinya sama suami , dia pilih kuliah di wilayah dekat suaminya . Salut banget",positive
"Langsung deh, cuitan curang lah, black campaign lah, nongol.. Katanya legowo, itu demokrasi bukan namanya hahaa #pilkadadki2017",negative
Ternyata ending film kamar 207 jelekk,negative
"Sedihnya hari ini, Indonesia hanya sebatas Jakarta, Bhinneka hanya sebatas soal Ahok semata #SaveJakarta #SaveNKRI #1000lilin #AhokDjarot",negative
Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>,negative
"ngakak, mantap dah pokoknya seru",positive
"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>",negative
"Ganteng banget mukanya , lebih ganteng lagi kalo mulutnya tambah lebar dan stroke😂😂",Negative
"Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih",negative
Inilah kenapa w benci bgt sama jaeyong shipper kelakuannya kayak yg nguasai dunia aja anjing mana tukang playing victim. Ngeship lu kayak orgil najis. SebenciÂ²nya gue sama otp jaeyong tp gak ada kayaknya berani ngetik jelek ke membernya. Kapan musnahnya sih ini shipper goblok,Negative
"Bagus banget, kesini karna lyly",Positive
"lucu ni bapak, bikin ketawa terus, persis kayak di tv #kickandy http://ift.tt/2o1rW9W",positive
Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah,positive
"Sinyal <PROVIDER_NAME> hebat, sampai puncak Halimun masih tetap on, mantap ",positive
Syukurlah antrian tidak sepanjang kemarin,positif
"ehhh bagus bgt loh lagunyaa, syahduu bgt, MVnya jugaa kerenn bat😮",Positive
"Aku suka sama aplikasi ini, bertahun tahun aku pake dan bagus bagus aja, tapi udh 2 bulan lewat aku sama sekali ga bisa make filter nya. Asal aku pake pasti di bilang jaringan tidak ada padahal jaringan aku lancar² aja, padahal aku selalu foto make aplikasi ini tapi karna gada satu pun filternya yang bisa di gunakan aku sudah jadi jarangg foto, tolong di perbaiki pleasee",Negative
 Tpi anjing lucu setia G jadi deh Pedo BANGSATTT PERUSAK MASA DEPAN ANAK GOBLOK,Negative
Manfaat #Oposisi Loyalis #Badja Terhadap Gubernur Baru DKI http://obsessionnews.com#Ahok #AhokDjarot #Anies #AniesSandi,positive
Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,negative
"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",negative
Kampungan.... Artis yg numpang tenar gara2 mukanya mirip Katy Perry doangÖ,negative
"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.",negative
Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,negative
Kerennnnnnnnnn,Positive
#ahok #ahokdjarot #pilgubdki #saveahok #temanahok Gusur demi jutaan rakyat http://infototorqq.blogspot.com,positive
anying,Negative
sedih bgt goblok anjing lu manusia gak jelas blm aja gw pites anjing,Negative
Selamat istirahat pak @basuki_btp Setelah ronde panjang melawan penjahat Anda telah menang #pilkadajakarta #pilkadadki2017 #BasukiDjarot,positive
"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",negative
Untungnya tidak ada masalah dengan caching,positif
Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,negative
<PROVIDER_NAME> jelek banget sinyalnya <PROVIDER_NAME>,negative
Dukungan Doa dan Pemasangan Lilin untuk AHOK dari MANADO untuk Indonesia. #SaveAhok #AhokDjarot #AhokPresidenRIke8,positive
Penista Agama #ahok,negative
Sok suci urus dapurmu sendiri,Negative
gabyyyyy bagus bgt 🥹💗✨,Positive
"Saatnya menerima gubernur baru. Terima kasih kepada gubernur lama. Sudahi perselisihan, mari bersatu untuk maju.#pilkadadki2017",positive
Lagunya bagus banget🥺,Positive
Kak kok like nya dikit ya😢,Positive
"Jangan melihat orang dari cover nya aja, tapi lihat lah dia dari sisi lain nya. Fisik bisa saja sm namun isinya berbeda. #KickAndy",negative
Pengiriman telat seminggu dari jadwal yang dijanjikan.,negatif
Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>. ,positive
"orang kaya mah bebas, tajir melintir. Alhamdullilah. #OkeOce",negative
"Cantik, polos, apa adanya tapi keliatan berbakat. Semoga kalau udah tenar gek jadi selebgram, kalian ga kaya2 si mba Novilda ya dek yg kehilangan arah. Tetaplah begini,jangan cepat tumbuh dewasa dan terus asahlah bakat kalian, Allah bless you both.",positive
Intelijen bayaran itu yang bermain tapi Alhamdulillah masyarakat CERDAS menanggapinya #OkeOce,negative
Mbak dewi jadi lebih sabar keliahatannya... Keren semoga semakin langgeng,positive
Anies-Sandi Bakal Upayakan Hal Ini untuk Buruh di Jakarta #AniesSandi #Buruh #Jakarta http://bit.ly/2oXCggA,positive
Kerenn suka lagunya❤❤🎉,Positive
"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri",negative
Sesuai gambar,Positive
HOAX ANJING.....GOBLOK gabisa bedain CALEG sama CAPRES lo?,Negative
"Yang kecil lucu, yang tengah ganteng parah, yang gede pinternya ga ketulungan, salam hormat saya bu, pak",positive
sumpaahh tapi gue merinding pas rap partnya ahyeon-ruka hbs itu disambung asa. GILAAAA WOOYYY KEREN BANGET CIWI CIWI GUEE,Positive
tapi emng enak banget anyinggg,Negative
"Bagi Tompi, Ahok-Djarot <Victory Hand> <Victory Hand> Lakukan Perubahan Positif, Nih Buktinya! #PilkadaDKI",positive
Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. jangan menari di tabuhan gendang orang lain.. selamat isya dan tarawih... ,positive
